# Synthetic circuit with mix of corners and straights (~2.8 km)
# columns: x_m, y_m, width_left_m, width_right_m, banking_rad
0.0, 0.0, 7.0, 7.0, 0.0
200.0, 0.0, 7.0, 7.0, 0.0
400.0, 0.0, 7.0, 7.0, 0.0
500.0, 20.0, 7.0, 7.0, 0.0
520.0, 80.0, 7.0, 7.0, 0.0
500.0, 150.0, 7.0, 7.0, 0.0
450.0, 200.0, 7.0, 7.0, 0.0
380.0, 220.0, 7.0, 7.0, 0.0
300.0, 220.0, 7.0, 7.0, 0.0
230.0, 240.0, 7.0, 7.0, 0.0
200.0, 300.0, 7.0, 7.0, 0.0
200.0, 400.0, 7.0, 7.0, 0.0
220.0, 460.0, 7.0, 7.0, 0.0
270.0, 500.0, 7.0, 7.0, 0.0
350.0, 510.0, 7.0, 7.0, 0.0
420.0, 490.0, 7.0, 7.0, 0.0
450.0, 440.0, 7.0, 7.0, 0.0
430.0, 380.0, 7.0, 7.0, 0.0
380.0, 350.0, 7.0, 7.0, 0.0
300.0, 355.0, 7.0, 7.0, 0.0
250.0, 380.0, 7.0, 7.0, 0.0
230.0, 410.0, 7.0, 7.0, 0.0
100.0, 410.0, 7.0, 7.0, 0.0
-50.0, 390.0, 7.0, 7.0, 0.0
-150.0, 340.0, 7.0, 7.0, 0.0
-180.0, 260.0, 7.0, 7.0, 0.0
-160.0, 180.0, 7.0, 7.0, 0.0
-100.0, 120.0, 7.0, 7.0, 0.0
-20.0, 90.0, 7.0, 7.0, 0.0
-20.0, 20.0, 7.0, 7.0, 0.0
