# Example oval track — 1.2 km perimeter
# columns: x_m, y_m, width_left_m, width_right_m, banking_rad
300.0, 0.0, 7.0, 7.0, 0.0
280.0, 50.0, 7.0, 7.0, 0.0
240.0, 95.0, 7.0, 7.0, 0.0
180.0, 125.0, 7.0, 7.0, 0.0
100.0, 140.0, 7.0, 7.0, 0.0
0.0, 140.0, 7.0, 7.0, 0.0
-100.0, 140.0, 7.0, 7.0, 0.0
-180.0, 125.0, 7.0, 7.0, 0.0
-240.0, 95.0, 7.0, 7.0, 0.0
-280.0, 50.0, 7.0, 7.0, 0.0
-300.0, 0.0, 7.0, 7.0, 0.0
-280.0, -50.0, 7.0, 7.0, 0.0
-240.0, -95.0, 7.0, 7.0, 0.0
-180.0, -125.0, 7.0, 7.0, 0.0
-100.0, -140.0, 7.0, 7.0, 0.0
0.0, -140.0, 7.0, 7.0, 0.0
100.0, -140.0, 7.0, 7.0, 0.0
180.0, -125.0, 7.0, 7.0, 0.0
240.0, -95.0, 7.0, 7.0, 0.0
280.0, -50.0, 7.0, 7.0, 0.0
